Source Table,Source_Field,Source Data Type,Business Logic Transformation,Notes,Filter Condition,Dataform Functions,Note,Target Table Name (Physical),Target Column Name (Physical),"Target Field Data Type 
(Physical)","Target Entity 
(Logical)","Target Attribute Name 
(Logical)",Target Field Data Type (Logical),Field Order,Key Field,Field Order,Key Field,Nullable,Data Quality Check,Code Repository Joins(should be left outer so records are not dropped),Description,Version Number,Jira # / Phase
b5_HIS.EHR_PATIENT,"EHR_PATIENT.patient_id, EHR_PATIENT.last_updated",STRING,"LOWER(TO_HEX(MD5(CONCAT('MTRXB5', '~', COALESCE(patient_id, ''), '~', COALESCE(CAST(last_updated AS STRING), '')))))",Fixed baseline deterministic version hashing to ensure reproducibility.,PATIENT_DIM,ptnt_dk,STRING,Patient,Patient Surrogate Key,STRING,1,TRUE,1,TRUE,NOT NULL,Must not be NULL or empty,-,Unique system-generated identifier per version row.,1,Phase 1,Unique system-generated identifier per version row.,1,Phase 1
b5_HIS.EHR_PATIENT,EHR_PATIENT.patient_id,STRING,"CONCAT('MTRXB5', '<>', COALESCE(patient_id, ''))",Business key built without event table dependency to align with parameters.,PATIENT_DIM,ptnt_bk,STRING,Patient,Patient Natural Business Key,STRING,2,TRUE,2,TRUE,NOT NULL,Must not be NULL,-,Standardized business key stable across history.,1,Phase 1,Standardized business key stable across history.,1,Phase 1
b5_HIS.EHR_PATIENT,EHR_PATIENT.patient_id,STRING,Direct Pull,Pass-through tracking tracking raw medical record markers.,PATIENT_DIM,patient_id,STRING,Patient,Medical Record Number,STRING,3,FALSE,3,FALSE,NOT NULL,Must not be NULL,-,Raw clinical patient record identifier.,1,Phase 1,Raw clinical patient record identifier.,1,Phase 1
b5_HIS.EHR_PATIENT,EHR_PATIENT.first_name,STRING,TRIM(first_name),Direct string normalization. No mask-aware overrides applied.,PATIENT_DIM,first_name,STRING,Patient,First Name,STRING,4,FALSE,4,FALSE,NULLABLE,None,-,Patient's given name.,1,Phase 1,Patient's given name.,1,Phase 1
b5_HIS.EHR_PATIENT,EHR_PATIENT.last_name,STRING,TRIM(last_name),Direct string normalization. No mask-aware overrides applied.,PATIENT_DIM,last_name,STRING,Patient,Last Name,STRING,5,FALSE,5,FALSE,NULLABLE,None,-,Patient's family name.,1,Phase 1,Patient's family name.,1,Phase 1
b5_HIS.EHR_PATIENT,EHR_PATIENT.date_of_birth,DATE,CAST(date_of_birth AS DATE),Enforces clean temporal date formatting.,PATIENT_DIM,dob,DATE,Patient,Date of Birth,DATE,6,FALSE,6,FALSE,NULLABLE,None,-,Immutable date of birth tracking element.,1,Phase 1,Immutable date of birth tracking element.,1,Phase 1
b5_HIS.EHR_PATIENT,EHR_PATIENT.gender,STRING,"CASE WHEN UPPER(TRIM(gender)) IN ('F', 'FEMALE') THEN 'F' WHEN UPPER(TRIM(gender)) IN ('M', 'MALE') THEN 'M' ELSE 'UNKNOWN' END",Harmonizes variations into strict categorical single characters.,PATIENT_DIM,gender,STRING,Patient,Gender Code,STRING,7,FALSE,7,FALSE,NULLABLE,None,-,Standardized sex/gender classification string.,1,Phase 1,Standardized structural sex/gender classification.,1,Phase 1
"b5_HIS.EHR_PATIENT, b5_HIS_t.RISK_SCORE_FCT",All Core Demographics + risk_tier,STRING,"LOWER(TO_HEX(MD5(CONCAT(COALESCE(first_name,''), '~', COALESCE(last_name,''), '~', COALESCE(CAST(date_of_birth AS STRING),''), '~', COALESCE(gender,''), '~', COALESCE(address_city,''), '~', COALESCE(address_state,''), '~', COALESCE(zip_code,''), '~', COALESCE(primary_language,''), '~', COALESCE(risk_tier, 'NULL'), '~', COALESCE(CAST(effective_from_dt AS STRING),''), '~', COALESCE(CAST(effective_to_dt AS STRING),'')))))","Code Alignment Override: Tracks changes across all standard columns, including the late-arriving attribute.",PATIENT_DIM,hash_diff,STRING,Patient,Record Version Hash ID,STRING,8,FALSE,8,FALSE,NOT NULL,Must not be NULL,-,Ingestion delta fingerprint to catch row mutations.,1,Phase 1,Ingestion delta fingerprint to catch row mutations.,1,Phase 1
b5_HIS.EHR_PATIENT,EHR_PATIENT.address_city,STRING,TRIM(address_city),Direct string alignment.,PATIENT_DIM,addr_city,STRING,Patient,Residential City,STRING,9,FALSE,9,FALSE,NULLABLE,None,-,Ingested city of residence.,1,Phase 1,Ingested city of residence.,1,Phase 1
b5_HIS.EHR_PATIENT,EHR_PATIENT.address_state,STRING,TRIM(address_state),Direct string alignment.,PATIENT_DIM,addr_state,STRING,Patient,Residential State,STRING,10,FALSE,10,FALSE,NULLABLE,None,-,Ingested state of residence.,1,Phase 1,Ingested state of residence.,1,Phase 1
